title,Avg_salary,State,job_category,salary_year
Center for Diagnostic Imaging ,$37.79 per hour,CA,Business Analyst,"$78,867.73 "
Terminal Contacts LLC ,$50.00 per hour,CA,Business Analyst,"$104,350.00 "
On-Board Services ,$47.07 per hour,CA,Business Analyst,"$98,235.09 "
Populus Group ,$54.95 per hour,CA,Business Analyst,"$114,680.65 "
Artizen Inc. ,$55.39 per hour,CA,Business Analyst,"$115,598.93 "
"Technical Resource Group, Inc. ",$50.86 per hour,CA,Business Analyst,"$106,144.82 "
Kforce ,$50.37 per hour,FL,Business Analyst,"$105,122.19 "
NextEra Energy ,$65.00 per hour,FL,Business Analyst,"$135,655.00 "
Sheridan Healthcare ,$41.93 per hour,FL,Business Analyst,"$87,507.91 "
Insight Global ,$45.93 per hour,FL,Business Analyst,"$95,855.91 "
TekPartners ,$43.23 per hour,FL,Business Analyst,"$90,221.01 "
isgf ,$48.92 per hour,FL,Business Analyst,"$102,096.04 "
Experis ,$33.77 per hour,FL,Business Analyst,"$70,477.99 "
TEKsystems ,$43.37 per hour,FL,Business Analyst,"$90,513.19 "
Apex Systems ,$37.24 per hour,FL,Business Analyst,"$77,719.88 "
The Judge Group ,$47.42 per hour,FL,Business Analyst,"$98,965.54 "
The Ashlar Group ,$35.67 per hour,FL,Business Analyst,"$74,443.29 "
Accountemps ,$19.81 per hour,FL,Business Analyst,"$41,343.47 "
Randstad Professionals ,$32.99 per hour,FL,Business Analyst,"$68,850.13 "
3D Staffing LLC. ,$40.13 per hour,FL,Business Analyst,"$83,751.31 "
ektello ,$48.05 per hour,FL,Business Analyst,"$100,280.35 "
AIC ,$53.81 per hour,FL,Business Analyst,"$112,301.47 "
DSM Staff Network ,$30.31 per hour,FL,Business Analyst,"$63,256.97 "
Strategic Staffing Solutions ,$49.98 per hour,FL,Business Analyst,"$104,308.26 "
"Global Channel Management, Inc. ",$35.13 per hour,FL,Business Analyst,"$73,316.31 "
Abacus Service Corporation. ,$50.00 per hour,FL,Business Analyst,"$104,350.00 "
Alliance IT ,$54.77 per hour,FL,Business Analyst,"$114,304.99 "
ACT-Consulting ,$66.11 per hour,FL,Business Analyst,"$137,971.57 "
AllianceIT ,$52.44 per hour,FL,Business Analyst,"$109,442.28 "
iR Talent ,$40.14 per hour,FL,Business Analyst,"$83,772.18 "
ApTask ,$27.18 per hour,FL,Business Analyst,"$56,724.66 "
"Business Technology Group, Inc. (BTG, Inc.) ",$40.56 per hour,FL,Business Analyst,"$84,648.72 "
Synergy Business Consulting ,$20.00 per hour,FL,Business Analyst,"$41,740.00 "
Principle Solutions Group ,$65.77 per hour,FL,Business Analyst,"$137,261.99 "
"ICONMA, LLC. ",$54.77 per hour,FL,Business Analyst,"$114,304.99 "
Vortalsoft Inc ,$35.00 per hour,FL,Business Analyst,"$73,045.00 "
My HR Supplier ,$59.79 per hour,FL,Business Analyst,"$124,781.73 "
Techcraft Solutions LLP ,$38.00 per hour,FL,Business Analyst,"$79,306.00 "
The Creative Group ,$44.84 per hour,FL,Business Analyst,"$93,581.08 "
StanSource ,$44.00 per hour,FL,Business Analyst,"$91,828.00 "
Aston Carter ,$32.83 per hour,FL,Business Analyst,"$68,516.21 "
Veredus Corporation ,$41.29 per hour,FL,Business Analyst,"$86,172.23 "
Randstad ,$32.42 per hour,FL,Business Analyst,"$67,660.54 "
SoftNet Partners ,$45.00 per hour,FL,Business Analyst,"$93,915.00 "
"CDI, Corporation ",$58.00 per hour,FL,Business Analyst,"$121,046.00 "
Edataforce Consulting Llc ,$41.21 per hour,FL,Business Analyst,"$86,005.27 "
"Afactory HUB, Inc ",$25.97 per hour,FL,Business Analyst,"$54,199.39 "
Volt ,$28.88 per hour,FL,Business Analyst,"$60,272.56 "
Silver Linc ,$55.00 per hour,FL,Business Analyst,"$114,785.00 "
Intuites ,$51.66 per hour,FL,Business Analyst,"$107,814.42 "
"Brandt Information Services, Inc. ",$51.53 per hour,FL,Business Analyst,"$107,543.11 "
Nutech National ,$14.00 per hour,FL,Business Analyst,"$29,218.00 "
Capital Staffing Solutions ,$24.79 per hour,FL,Business Analyst,"$51,736.73 "
INA Solution Ltd. ,$40.00 per hour,FL,Business Analyst,"$83,480.00 "
The CSI Companies ,$36.44 per hour,FL,Business Analyst,"$76,050.28 "
Robert Half Management Resources ,$32.62 per hour,FL,Business Analyst,"$68,077.94 "
"V Dart, Inc. ",$65.00 per hour,FL,Business Analyst,"$135,655.00 "
IntellaPro ,$42.52 per hour,FL,Business Analyst,"$88,739.24 "
Indus Software Solutions Inc. ,$50.00 per hour,FL,Business Analyst,"$104,350.00 "
I Call Software Solutions ,$40.00 per hour,FL,Business Analyst,"$83,480.00 "
TSR Consulting ,$51.47 per hour,FL,Business Analyst,"$107,417.89 "
"Xceltech, Inc ",$31.42 per hour,FL,Business Analyst,"$65,573.54 "
Tec-Link ,$37.28 per hour,FL,Business Analyst,"$77,803.36 "
"ArnAmy, Inc. ",$49.99 per hour,FL,Business Analyst,"$104,329.13 "
Softnet Partners INC ,$44.13 per hour,FL,Business Analyst,"$92,099.31 "
M&M Strategic Staffing ,$20.00 per hour,FL,Business Analyst,"$41,740.00 "
HKA Enterprises ,$45.81 per hour,FL,Business Analyst,"$95,605.47 "
"CorTech, LLC ",$29.40 per hour,FL,Business Analyst,"$61,357.80 "
"Samico, Inc. ",$50.18 per hour,FL,Business Analyst,"$104,725.66 "
System One ,$31.55 per hour,FL,Business Analyst,"$65,844.85 "
Accounting Principals ,$30.01 per hour,FL,Business Analyst,"$62,630.87 "
HealthCare Support Staffing ,$35.11 per hour,FL,Business Analyst,"$73,274.57 "
GBIT Inc ,$47.09 per hour,FL,Business Analyst,"$98,276.83 "
ACT-IT Consulting ,$53.14 per hour,FL,Business Analyst,"$110,903.18 "
TotalMed Staffing ,$32.19 per hour,FL,Business Analyst,"$67,180.53 "
Sanrose Information Services Inc. ,$55.02 per hour,FL,Business Analyst,"$114,826.74 "
NexTech-Solutions ,$30.34 per hour,FL,Business Analyst,"$63,319.58 "
Cenergy Partners ,$35.00 per hour,FL,Business Analyst,"$73,045.00 "
Talent Cloud Staffing ,$76.40 per hour,FL,Business Analyst,"$159,446.80 "
"Mountain, Ltd ",$35.00 per hour,FL,Business Analyst,"$73,045.00 "
Eclaro ,$45.00 per hour,FL,Business Analyst,"$93,915.00 "
Protalent ,$38.32 per hour,FL,Business Analyst,"$79,973.84 "
Young Consulting ,$45.00 per hour,FL,Business Analyst,"$93,915.00 "
National Computing Group ,$55.09 per hour,FL,Business Analyst,"$114,972.83 "
"Business Intelligence Systems, Inc. ",$31.40 per hour,FL,Business Analyst,"$65,531.80 "
MATRIX Resources ,$58.67 per hour,GA,Business Analyst,"$122,444.29 "
Wipro ,$50.00 per hour,GA,Business Analyst,"$104,350.00 "
TEKsystems ,$37.82 per hour,GA,Business Analyst,"$78,930.34 "
Randstad ,$41.67 per hour,GA,Business Analyst,"$86,965.29 "
Metasys Technologies ,$75.07 per hour,GA,Business Analyst,"$156,671.09 "
Experis ,$34.62 per hour,GA,Business Analyst,"$72,251.94 "
Accountemps ,$22.48 per hour,GA,Business Analyst,"$46,915.76 "
AIC ,$55.01 per hour,GA,Business Analyst,"$114,805.87 "
Robert Half ,$34.39 per hour,GA,Business Analyst,"$71,771.93 "
Veredus ,$48.22 per hour,GA,Business Analyst,"$100,635.14 "
Principle Solutions Group ,$48.21 per hour,GA,Business Analyst,"$100,614.27 "
Choice Technology Group ,$65.00 per hour,GA,Business Analyst,"$135,655.00 "
SGI ,$46.48 per hour,GA,Business Analyst,"$97,003.76 "
Veredus Corporation ,$50.68 per hour,GA,Business Analyst,"$105,769.16 "
Georgia Student Finance Commission ,$25.00 per hour,GA,Business Analyst,"$52,175.00 "
Fountainhead Resources ,$68.31 per hour,GA,Business Analyst,"$142,562.97 "
firstPRO Inc. ,$37.76 per hour,GA,Business Analyst,"$78,805.12 "
Systel ,$35.00 per hour,GA,Business Analyst,"$73,045.00 "
The Centrics Group ,$34.61 per hour,GA,Business Analyst,"$72,231.07 "
Inficare Technologies ,$47.63 per hour,GA,Business Analyst,"$99,403.81 "
Eliassen Group ,$49.81 per hour,GA,Business Analyst,"$103,953.47 "
THEMESOFT ,$55.96 per hour,GA,Business Analyst,"$116,788.52 "
"Talent Logic, Inc. ",$70.61 per hour,GA,Business Analyst,"$147,363.07 "
Apex Systems (Keizer Permanente) ,$55.00 per hour,GA,Business Analyst,"$114,785.00 "
Sun Plus Data Group Inc. ,$50.25 per hour,GA,Business Analyst,"$104,871.75 "
GDH Government Services ,$40.00 per hour,GA,Business Analyst,"$83,480.00 "
Happy Faces Personnel Group ,$19.60 per hour,GA,Business Analyst,"$40,905.20 "
Brick House Resources ,$50.00 per hour,GA,Business Analyst,"$104,350.00 "
Wavsys ,$55.00 per hour,GA,Business Analyst,"$114,785.00 "
Veritas Technologies ,$52.00 per hour,GA,Business Analyst,"$108,524.00 "
DSM Staff Network ,$30.54 per hour,GA,Business Analyst,"$63,736.98 "
Cyber Shield Consultants ,$35.00 per hour,GA,Business Analyst,"$73,045.00 "
Mustang Technical Consultants ,$47.87 per hour,GA,Business Analyst,"$99,904.69 "
The Royak Group Inc. ,$47.43 per hour,GA,Business Analyst,"$98,986.41 "
CORESTAFF Services ,$18.19 per hour,GA,Business Analyst,"$37,962.53 "
Programmer Resources International Inc (PRI Inc.) ,$38.47 per hour,GA,Business Analyst,"$80,286.89 "
Strive Consulting LLC ,$45.00 per hour,GA,Business Analyst,"$93,915.00 "
"Global Channel Management, Inc. ",$34.38 per hour,GA,Business Analyst,"$71,751.06 "
"CorTech, LLC ",$46.15 per hour,GA,Business Analyst,"$96,315.05 "
Bright Byte Consulting ,$59.80 per hour,GA,Business Analyst,"$124,802.60 "
"The Ascendant Group, LLC ",$42.99 per hour,GA,Business Analyst,"$89,720.13 "
"Smartlink, LLC (HQ) ",$30.98 per hour,GA,Business Analyst,"$64,655.26 "
Primus Software Corp ,$35.16 per hour,GA,Business Analyst,"$73,378.92 "
ASAP Staffing ,$41.52 per hour,GA,Business Analyst,"$86,652.24 "
AbbVie ,$30.77 per hour,IL,Business Analyst,"$64,216.99 "
Accountemps ,$23.34 per hour,IL,Business Analyst,"$48,710.58 "
Swoon Group ,$38.14 per hour,IL,Business Analyst,"$79,598.18 "
Exelon ,$20.00 per hour,IL,Business Analyst,"$41,740.00 "
Mason Frank International ,$60.01 per hour,IL,Business Analyst,"$125,240.87 "
Experis ,$45.72 per hour,IL,Business Analyst,"$95,417.64 "
"CorTech, LLC ",$27.94 per hour,IL,Business Analyst,"$58,310.78 "
AIC ,$55.01 per hour,IL,Business Analyst,"$114,805.87 "
"Chivalry Consulting, Inc. ",$35.17 per hour,IL,Business Analyst,"$73,399.79 "
Randstad Professionals ,$28.09 per hour,IL,Business Analyst,"$58,623.83 "
Horizon Technology Partners ,$52.92 per hour,IL,Business Analyst,"$110,444.04 "
Creative Circle ,$46.86 per hour,IL,Business Analyst,"$97,796.82 "
Kforce ,$61.85 per hour,IL,Business Analyst,"$129,080.95 "
Revolution Technologies ,$30.62 per hour,IL,Business Analyst,"$63,903.94 "
Veredus ,$46.28 per hour,IL,Business Analyst,"$96,586.36 "
IDC Technologies ,$59.54 per hour,IL,Business Analyst,"$124,259.98 "
HireLevel. ,$31.52 per hour,IL,Business Analyst,"$65,782.24 "
Cloud Big Data ,$55.00 per hour,IL,Business Analyst,"$114,785.00 "
"Oakbrook, IL ",$28.85 per hour,IL,Business Analyst,"$60,209.95 "
PTR Inc ,$65.00 per hour,IL,Business Analyst,"$135,655.00 "
Activesoft Inc ,$50.00 per hour,IL,Business Analyst,"$104,350.00 "
Equity Staffing Group ,$37.42 per hour,IL,Business Analyst,"$78,095.54 "
Cogent Data Solutions LLC ,$45.00 per hour,IL,Business Analyst,"$93,915.00 "
Terminal Contacts LLC ,$55.00 per hour,IL,Business Analyst,"$114,785.00 "
IT Expert System Inc. ,$45.00 per hour,IL,Business Analyst,"$93,915.00 "
BPK Tech ,$45.00 per hour,IL,Business Analyst,"$93,915.00 "
Select Source International ,$25.00 per hour,IL,Business Analyst,"$52,175.00 "
